keys,es,en
START,Comenzar,Start
OPTIONS,Opciones,Options
QUIT,Salir,Quit
ACCEPT,Aceptar,Accept
SELECT_STAGE,Elige el proximo nivel,Select next stage
TYPE,Type:,Tipo:
THREAT,Threat:,Dificultad:
SELECT,Select,Elegir
BACK,Volver,Back
LANG,Español,English
CONTINUE,Continuar,Continue
SKIP,Saltear Tutorial,Skip Tutorial
TUTORIAL_S1_L1,"Bienvenidos al [b]Simulador de batalla[/b].\nAqui les enseñare lo basico, aunque seguramente no lo necesiten. Todos aqui somos veteranos de las guerras conicas, verdad? \nTratare de ser breve...\n[b][color=green]Presiona Z o ENTER para continuar[/color][/b] ,","Welcome to the [b]Battle Simulator[/b].\nHere I'll teach you the basics, although you probably won't need it. We are all veterans of the cone wars, right? \nI'll try to be brief...\n[color=green]Press Z or ENTER to continue[/color]"
TUTORIAL_S1_L2,"[b][color=#b2ffff]Alpha[/color][/b], he configurado los controles de tu nave segun tus preferencias (Esta nave se controla con [b][color=#00FF00]WASD[/color][/b]).","[b][color=#b2ffff]Alpha[/color][/b], I have configured the controls of your ship according to your preferences (This ship is controlled with [color=#00FF00]WASD[/color])."
TUTORIAL_S1_L3,"En tu caso [b][color=#EE4B2B]Omega[/color][/b], hemos vuelto a los controles basicos, se que no tendras quejas (Esta nave se controla con las [b][color=#00FF00]flechas[/color][/b]). Se conocen hace mucho y los une un [b][color=red]VINCULO[/color][/b] muy estrecho, asi que creo que no hacen falta las presentaciones despues de todo.","For you, [b][color=#EE4B2B]Omega[/color][/b], we have returned to the basic controls, I know you will have no complaints (This ship is controlled with the [b][color=#00FF00] arrows[/color][/b]). You've known each other for a long time and are linked by a very close [b][color=red]BOND[/color][/b], so I guess there's no need for introductions after all."
TUTORIAL_S1_L4,"Se preguntaran que son esas naves del medio...  Es un experimento que he estado planificando, si tiene exito en el simulador, lo podremos trasladar a naves reales!\nEsas 3 naves son [b][color=#FFD700]Naves Conectoras[/color][/b]. Conectan la [b][color=#ffc0cb]primera nave[/color][/b] a la [b][color=#00FF00]ultima nave[/color][/b], moviendose en conjunto.","You may be wondering what those ships in the middle are... It's an experiment I've been planning, if it succeeds in the simulator, we can transfer it to real ships!\nThose 3 ships are [b][color=#FFD700]Connector Ships. They connect the [b][color=#ffc0cb]first ship[/color][/b] to the [b][color=#00FF00]last ship[/color][/b], moving together."
TUTORIAL_S1_L5,"Escuchen con Atencion. Las naves del medio no se moveran por si solas, [b][color=yellow]seran arrastradas por sus naves [/color][/b], las que se encuentran en cada punta de la formacion.","Listen carefully. The ships in the middle will not move on their own, [b][color=yellow] they will be pulled by your[/color][/b] ships, which are at each end of the formaion."
TUTORIAL_S1_L6,"Las naves del medio estan protegidas por una fuerza especial, [b][color=red]el hilo rojo[/color][/b].\nEsta fuerza evitara que sean dañadas por [b][color=green]Disparos y Enemigos[/color][/b] pero recibira daño de asteroides.","The ships in the middle are protected by a special force, [b][color=red]the red thread[/color][/b].\nThis force will prevent them from being damaged by [b][color=green]Enemies and their shoots [/color][/b], but will take damage from asteroids."
TUTORIAL_S1_L7,"Ahora simulare algunos enemigos, intenta esquivarlos moviendo ambas naves.\nRecuerda! Solo recibiras daño si golpean la primera o la ultima nave de la formacion, asi que puedes dejar pasar enemigos y disparos por entre tus naves.","Now I will simulate some enemies, try to avoid them by moving both ships.\nRemember! You will only take damage if they hit the first or last ship in the formation, so you can let enemies and shots pass between your ships."
